id,title,type,genres,averageRating,numVotes,releaseYear,
tt0058888,Red Beard,movie,Drama,8.3,21754,1965,
tt0037674,Children of Paradise,movie,"Drama, Romance",8.3,21539,1945,
tt9098872,The Rescue,movie,"Action, Documentary, Mystery",8.3,21452,2021,
tt0110081,To Live,movie,"Drama, War",8.3,20979,1994,
tt4908644,Winter on Fire: Ukraine's Fight for Freedom,movie,"Documentary, History, War",8.3,20862,2015,
tt0050634,The Cranes Are Flying,movie,"Drama, Romance, War",8.3,20444,1957,
tt13391710,Jana Gana Mana,movie,"Crime, Drama, Thriller",8.3,18198,2022,
tt10214826,Agent Sai Srinivasa Athreya,movie,"Comedy, Crime, Mystery",8.3,17470,2019,
tt0195231,Satya,movie,"Action, Crime, Drama",8.3,17184,1998,
tt0062759,The Diamond Arm,movie,"Adventure, Comedy, Crime",8.3,16657,1969,
tt5312232,Sairat,movie,"Drama, Romance",8.3,15110,2016,
tt0085743,Jaane Bhi Do Yaaro,movie,"Comedy, Crime, Drama",8.3,14953,1983,
tt5867800,Aruvi,movie,Drama,8.3,14601,2016,
tt0061847,Samurai Rebellion,movie,Drama,8.3,14504,1967,
tt3521134,The Look of Silence,movie,"Biography, Documentary, History",8.3,14124,2014,
tt0060584,"Kidnapping, Caucasian Style",movie,"Adventure, Comedy, Drama",8.3,13917,1967,
tt9006564,2018,movie,"Action, Drama, Thriller",8.3,13524,2023,
tt2358592,Lucia,movie,"Drama, Sci-Fi, Thriller",8.3,13502,2013,
tt0072783,Chupke Chupke,movie,"Comedy, Drama, Romance",8.3,13411,1975,
tt0068519,Gentlemen of Fortune,movie,"Comedy, Crime, Drama",8.3,13218,1971,
tt0252619,From the Village to the City,movie,Comedy,8.3,12108,1974,
tt2877108,Soodhu Kavvum,movie,"Comedy, Crime, Thriller",8.3,12092,2013,
tt0139876,Baasha,movie,"Action, Crime, Drama",8.3,11827,1995,
tt18568902,Kaun Pravin Tambe?,movie,"Biography, Drama, Sport",8.3,11340,2022,
tt8652818,Violet Evergarden: The movie,movie,"Animation, Drama, Fantasy",8.3,11179,2020,
tt0179955,Cat City,movie,"Adventure, Animation, Comedy",8.3,10976,1986,
tt4851630,Maheshinte Prathikaaram,movie,"Comedy, Drama, Thriller",8.3,10790,2016,
tt0301634,Frozen Stiff,movie,"Comedy, Drama",8.3,10321,2002,
tt0993846,The Wolf of Wall Street,movie,"Biography, Comedy, Crime",8.2,1633885,2013,
tt0372784,Batman Begins,movie,"Action, Crime, Drama",8.2,1613024,2005,
tt1130884,Shutter Island,movie,"Drama, Mystery, Thriller",8.2,1504042,2010,
tt0120382,The Truman Show,movie,"Comedy, Drama",8.2,1237514,1998,
tt0266697,Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",8.2,1222943,2003,
tt0266543,Finding Nemo,movie,"Adventure, Animation, Comedy",8.2,1136308,2003,
tt0107290,Jurassic Park,movie,"Action, Adventure, Sci-Fi",8.2,1092948,1993,
tt0477348,No Country for Old Men,movie,"Crime, Drama, Thriller",8.2,1090297,2007,
tt0167404,The Sixth Sense,movie,"Drama, Mystery, Thriller",8.2,1076733,1999,
tt0268978,A Beautiful Mind,movie,"Biography, Drama, Mystery",8.2,1004732,2001,
tt0095016,Die Hard,movie,"Action, Thriller",8.2,963594,1988,
tt0075314,Taxi Driver,movie,"Crime, Drama",8.2,950295,1976,
tt0208092,Snatch,movie,"Comedy, Crime",8.2,928210,2000,
tt10872600,Spider-Man: No Way Home,movie,"Action, Adventure, Fantasy",8.2,915258,2021,
tt0066921,A Clockwork Orange,movie,"Crime, Sci-Fi",8.2,896742,1971,
tt1392214,Prisoners,movie,"Crime, Drama, Mystery",8.2,840062,2013,
tt0097576,Indiana Jones and the Last Crusade,movie,"Action, Adventure",8.2,824473,1989,
tt0093058,Full Metal Jacket,movie,"Drama, War",8.2,806839,1987,
tt1745960,Top Gun: Maverick,movie,"Action, Drama",8.2,739713,2022,
tt0457430,Pan's Labyrinth,movie,"Drama, Fantasy, War",8.2,713838,2006,
tt8579674,1917,movie,"Action, Drama, History",8.2,702943,2019,
tt0469494,There Will Be Blood,movie,Drama,8.2,655072,2007,
tt0119488,L.A. Confidential,movie,"Crime, Drama, Mystery",8.2,630639,1997,
tt6966692,Green Book,movie,"Biography, Comedy, Drama",8.2,604146,2018,
tt0071853,Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",8.2,579099,1975,
tt0112641,Casino,movie,"Crime, Drama",8.2,577557,1995,
tt0084787,The Thing,movie,"Horror, Mystery, Sci-Fi",8.2,483543,1982,
tt0347149,Howl's Moving Castle,movie,"Adventure, Animation, Family",8.2,466649,2004,
tt0105695,Unforgiven,movie,"Drama, Western",8.2,444283,1992,
tt0363163,Downfall,movie,"Biography, Drama, History",8.2,381625,2004,
tt0031381,Gone with the Wind,movie,"Drama, Romance, War",8.2,339903,1939,
tt0053291,Some Like It Hot,movie,"Comedy, Music, Romance",8.2,288605,1959,
tt0059578,For a Few Dollars More,movie,"Drama, Western",8.2,281430,1965,
tt0080678,The Elephant Man,movie,"Biography, Drama",8.2,263857,1980,
